item,item_create,item_los,date
プレーン 2斤,8,0,2024/01/08
純生 2斤,2,0,2024/01/08
プレーン　1斤,0,0,2024/01/08
アップルシナモン,4,0,2024/01/08
濃厚ショコラ,8,0,2024/01/08
ほうじ茶とホワイトチョコ,11,0,2024/01/08
プレーン1斤,0,0,2024/01/08
純生1斤,0,0,2024/01/08
ホイップバター,9,0,2024/01/08
天使のクロワッサン,11,0,2024/01/08
塩トリュフクロワッサン,9,0,2024/01/08
チョコレートクロワッサン,6,0,2024/01/08
ストロベリークロワッサン,3,0,2024/01/08
ホワイトチョコクロワッサン,4,0,2024/01/08
アーモンドダマンドクロワッサン,2,0,2024/01/08
アールグレイダマンドクロワッサン,1,0,2024/01/08
ほうじ茶ダマンドクロワッサン,3,0,2024/01/08
抹茶つぶあんダマンド,0,0,2024/01/08
板チョコバタークロワッサン,9,0,2024/01/08
ソーセージクロワッサン,7,0,2024/01/08
明太マヨコロッケクロワッサン,0,0,2024/01/08
ささみカツバーガー,4,0,2024/01/08
アラビアータバーガー,6,0,2024/01/08
照り焼きチキンバーガ,6,0,2024/01/08
明太マヨコロッケバー,2,0,2024/01/08
シーザーサラダバーガ,6,0,2024/01/08
リュスティック,1,0,2024/01/08
悪魔のカレーパン,16,0,2024/01/08
とうもろこしクロックムッシュ,2,0,2024/01/08
明太ペペロンチーノフランス,3,0,2024/01/08
明太チーズオムレツサンド,7,0,2024/01/08
トマトとリコッタのタルティーヌ,1,0,2024/01/08
チョリソーとキャベツのタルティーヌ,5,0,2024/01/08
シラスとキノコのタルティーヌ,3,0,2024/01/08
ハニートースト,8,0,2024/01/08
チョコ　クロワッサンロール,4,0,2024/01/08
ストロベリー　クロワッサンロール,2,0,2024/01/08
きな粉とくるみのあんバター,10,0,2024/01/08
チョコマフィン,5,0,2024/01/08
ストロベリーマフィン,1,0,2024/01/08
フルーツパイ,6,0,2024/01/08
シナモンロール,0,0,2024/01/08
シュガーラスク,0,0,2024/01/08
チョコラスク,0,0,2024/01/08
ストロベリーラスク,0,0,2024/01/08
ホワイトラスク,0,0,2024/01/08
極上プリン カップtak,15,0,2024/01/08
ほうじ茶プリン カッップ,1,0,2024/01/08
極上プリン　ビン　Ta,0,0,2024/01/08
抹茶プリン　take,0,0,2024/01/08
フレンチトーストtake,5,0,2024/01/08
フレンチ【プレーン】,5,0,2024/01/08
フレンチ【ベリー】,3,0,2024/01/08
フレンチ【キャラメル,3,0,2024/01/08
EDWブレックファース,3,0,2024/01/08
バスクチーズtake,9,0,2024/01/08
プレーン 2斤,11,0,2024/01/09
純生 2斤,4,0,2024/01/09
プレーン　1斤,0,0,2024/01/09
アップルシナモン,6,0,2024/01/09
