item,item_create,item_los,date
アーモンドダマンドクロワッサン,6,0,2023/9/6
アールグレイダマンドクロワッサン,2,0,2023/9/6
ほうじ茶ダマンドクロワッサン,2,0,2023/9/6
カボチャサラダクロワッサン,2,0,2023/9/6
板チョコバタークロワッサン,0,0,2023/9/6
ソーセージクロワッサン,5,0,2023/9/6
パストラミクロワッサン,0,0,2023/9/6
生ハムクロワッサン,2,0,2023/9/6
レモンとピスタチオのクロワッサン,0,0,2023/9/6
ささみカツバーガー,2,0,2023/9/6
アラビアータバーガー,4,0,2023/9/6
照り焼きチキンバーガ,3,0,2023/9/6
明太マヨコロッケバー,2,0,2023/9/6
シーザーサラダバーガ,0,0,2023/9/6
ツナチェダーバーガー,2,0,2023/9/6
悪魔のカレーパン,12,0,2023/9/6
とうもろこしクロックムッシュ,8,0,2023/9/6
明太ペペロンチーノフランス,4,0,2023/9/6
明太チーズオムレツサンド,0,0,2023/9/6
トマトとリコッタのタルティーヌ,4,0,2023/9/6
チョリソーとキャベツのタルティーヌ,3,0,2023/9/6
シラスとキノコのタルティーヌ,3,0,2023/9/6
夏野菜とチーズのタルティーヌ,6,0,2023/9/6
あんバタートースト,6,0,2023/9/6
ベリーとクリームチーズのハニートースト,4,0,2023/9/6
カボチャのクリームパン,0,0,2023/9/6
きな粉とくるみのあんバター,0,0,2023/9/6
ボストック,0,0,2023/9/6
チョコマフィン,0,0,2023/9/6
レモンカスタードマフ,6,0,2023/9/6
ストロベリーマフィン,0,0,2023/9/6
シャインマスカットのフルーツパイ,7,0,2023/9/6
シナモンロール,3,0,2023/9/6
レモンアールグレイのクロッフィン,5,0,2023/9/6
シュガーラスク,0,0,2023/9/6
シナモンラスク,0,0,2023/9/6
チョコラスク,0,0,2023/9/6
ストロベリーラスク,0,0,2023/9/6
ホワイトラスク,1,0,2023/9/6
極上プリン カップtak,16,0,2023/9/6
ほうじ茶プリン カッ,3,0,2023/9/6
極上プリン　ビン　Ta,10,0,2023/9/6
フレンチトーストtake,4,0,2023/9/6
バスクチーズtake,6,0,2023/9/6
冷やしパンケーキ,16,0,2023/9/6
冷やしパンケーキ　8,1,0,2023/9/6
プレーン 2斤,11,0,2023/9/7
純生 2斤,16,0,2023/9/7
栗　1斤,21,0,2023/9/7
柚子一斤,0,0,2023/9/7
ホイップバター,4,0,2023/9/7
天使のクロワッサン,23,0,2023/9/7
塩トリュフクロワッサン,16,0,2023/9/7
チョコレートクロワッサン,12,0,2023/9/7
ストロベリークロワッサン,3,0,2023/9/7
ホワイトチョコクロワッサン,2,0,2023/9/7
アーモンドダマンドクロワッサン,6,0,2023/9/7
アールグレイダマンドクロワッサン,4,0,2023/9/7
ほうじ茶ダマンドクロワッサン,2,0,2023/9/7
カボチャサラダクロワッサン,3,0,2023/9/7
板チョコバタークロワッサン,0,0,2023/9/7
ソーセージクロワッサン,8,0,2023/9/7
パストラミクロワッサン,0,0,2023/9/7
生ハムクロワッサン,3,0,2023/9/7
レモンとピスタチオのクロワッサン,1,0,2023/9/7
ささみカツバーガー,5,0,2023/9/7
アラビアータバーガー,5,0,2023/9/7
照り焼きチキンバーガ,6,0,2023/9/7
明太マヨコロッケバー,3,0,2023/9/7
シーザーサラダバーガ,0,0,2023/9/7
ツナチェダーバーガー,2,0,2023/9/7
悪魔のカレーパン,12,0,2023/9/7
とうもろこしクロックムッシュ,8,0,2023/9/7
明太ペペロンチーノフランス,4,0,2023/9/7
